연번,공공데이터 서비스명,"서비스
유형",요청인자,,출력항목,
,,,항목,설명,항목,설명
1,HACCP 교육훈련기관 지정 현황,OPEN API,keyid,인증키,PRMS_DT,허가일자
1,HACCP 교육훈련기관 지정 현황,OPEN API,serviceId,서비스명,PRSDNT_NM,대표자
1,HACCP 교육훈련기관 지정 현황,OPEN API,dataType,요청파일 타입,BSSH_ADDR,주소
1,HACCP 교육훈련기관 지정 현황,OPEN API,startidx,요청시작위치,BSSH_NM,교육훈련기관명
1,HACCP 교육훈련기관 지정 현황,OPEN API,endIdx,요청종료위치,EDC_INSTT_APPN_NO,지정번호
2,HACCP 적용업소 지정 현황,OPEN API,keyid,인증키,HACCP_APPN_NO,HACCP 지정번호
2,HACCP 적용업소 지정 현황,OPEN API,serviceId,서비스명,HACCP_APPN_DT,HACCP 지정일자
2,HACCP 적용업소 지정 현황,OPEN API,dataType,요청파일 타입,SITE_ADDR,주소
2,HACCP 적용업소 지정 현황,OPEN API,startidx,요청시작위치,PRSDNT_NM,대표자명
2,HACCP 적용업소 지정 현황,OPEN API,endIdx,요청종료위치,BSSH_NM,업소명
2,HACCP 적용업소 지정 현황,OPEN API,LCNS_NO,인허가번호,INDUTY_CD_NM,업종
2,HACCP 적용업소 지정 현황,OPEN API,HACCP_APPN_NO,HACCP 지정번호,CRTFC_RETN_DT,인증반납일자 
2,HACCP 적용업소 지정 현황,OPEN API,CHNG_DT,변경일자,CRTFC_ENDDT,인증종료일자 
2,HACCP 적용업소 지정 현황,OPEN API,,,ASGN_CANCL_DT,지정취소일자 
2,HACCP 적용업소 지정 현황,OPEN API,,,CLSBIZ_DT,폐업일자
2,HACCP 적용업소 지정 현황,OPEN API,,,CLSBIZ_DVS_CD_NM,영업상태
2,HACCP 적용업소 지정 현황,OPEN API,,,PRDLST_NM,품목명
2,HACCP 적용업소 지정 현황,OPEN API,,,LCNS_NO,인허가번호
3,LMO 수입 승인 현황,OPEN API,keyid,인증키,NATN_CD_NM,수입국
3,LMO 수입 승인 현황,OPEN API,serviceId,서비스명,PRPOS,용도
3,LMO 수입 승인 현황,OPEN API,dataType,요청파일 타입,BNE_NM,학명
3,LMO 수입 승인 현황,OPEN API,startidx,요청시작위치,SYSTM_NM,계통명
3,LMO 수입 승인 현황,OPEN API,endIdx,요청종료위치,COMMON_NM,보통명
3,LMO 수입 승인 현황,OPEN API,,,ADDR,주소
3,LMO 수입 승인 현황,OPEN API,,,BSSH_NM,업소명
