LCNS_NO,BSSH_NM,CHNG_DT,CHNG_PRVNS,INDUTY_CD_NM,SITE_ADDR,CHNG_BF_CN,CHNG_AF_CN,TELNO,DB_EXISTS,DB_LAST_EVENT_DATE,IS_MISSED,MISSED_REASON
20240050462,(주)닥터로빈 한남점,20260519,변경민원,일반음식점,"서울특별시 용산구 독서당로 70(현대리버티하우스 1층 103,104,105,106,107호 한남동)",김**,김*******,,Y,20260519,N,NONE
20140091758,(주) 닥터로빈 흑석점,20260519,변경민원,일반음식점,"서울특별시 동작구 현충로 124(지하1,2층 흑석동, 뉴지엄)",김**,김*******,0226933100,Y,20260519,N,NONE
20140091758,(주) 닥터로빈 흑석점,20231228,변경민원,일반음식점,"서울특별시 동작구 현충로 124(지하1,2층 흑석동, 뉴지엄)",송*******,김**,0226933100,Y,20260519,N,NONE
20160338925,(주)금강산,20260519,변경민원,일반음식점,"경기도 시흥시 공단1대로 263(스마트허브 N-CITY 139호, 140호, 143호, 144호, 152호 정왕동)",이*******,이**,0314310071,Y,20260519,N,NONE
20160338925,(주)금강산,20260406,변경민원(지위승계 : 양도.양수),일반음식점,"경기도 시흥시 공단1대로 263(스마트허브 N-CITY 139호, 140호, 143호, 144호, 152호 정왕동)",김**,이*******,0314310071,Y,20260519,N,NONE
20040214098,(재)케이티그룹희망나눔재단 광주,20260514,변경민원,일반음식점,"광주광역시 동구 제봉로82번길 16(서석동,지상4층)",오**,임**,0622301376,Y,20260514,N,NONE
20040214098,(재)케이티그룹희망나눔재단 광주,20231226,변경민원,일반음식점,"광주광역시 동구 제봉로82번길 16(서석동,지상4층)",조**,오**,0622301376,Y,20260514,N,NONE
20240691320,(주)금우돈속초어시장천안점,20260514,변경민원,일반음식점,"충청남도 천안시 서북구 불당25로 154(더블유프라자 1층 101,102,103,121호 불당동)",속초어시장,(주)금우돈속초어시장천안점,,Y,20260514,N,NONE
20240691320,(주)금우돈속초어시장천안점,20260514,변경민원(지위승계 : 양도.양수),일반음식점,"충청남도 천안시 서북구 불당25로 154(더블유프라자 1층 101,102,103,121호 불당동)",김**,김**,,Y,20260514,N,NONE
20240691320,(주)금우돈속초어시장천안점,20260324,변경민원(지위승계 : 양도.양수),일반음식점,"충청남도 천안시 서북구 불당25로 154(더블유프라자 1층 101,102,103,121호 불당동)",국**,김**,,Y,20260514,N,NONE
20260801129,(구)도장골메기탕,20260514,변경민원,일반음식점,전라남도 광양시 광영시장길 19(광영상설시장 C동 점포 12호 광영동),광영수제돈가스,(구)도장골메기탕,,Y,20260514,N,NONE
20040221031,(주)금산,20260514,변경민원,일반음식점,"광주광역시 북구 하서로 437(용두동, 외3필지)",김**,정**,0625750852,Y,20260514,N,NONE
20040221031,(주)금산,20240322,변경민원(지위승계 : 양도.양수),일반음식점,"광주광역시 북구 하서로 437(용두동, 외3필지)",권**,김**,0625750852,Y,20260514,N,NONE
20020129282,(재)케이티그룹희망나눔재단부산,20260512,변경민원,일반음식점,부산광역시 동구 부산진성공원로 23(KT부산정보통신센터 범일동),오**,임**,0516387000,Y,20260512,N,NONE
20020129282,(재)케이티그룹희망나눔재단부산,20231226,변경민원,일반음식점,부산광역시 동구 부산진성공원로 23(KT부산정보통신센터 범일동),조**,오**,0516387000,Y,20260512,N,NONE
20220500630,(주)더봄봄푸드,20260507,변경민원,일반음식점,경기도 안성시 안성맞춤대로 847(1층 좌측호 계동),박**,하**,,Y,20260507,N,NONE
20220500630,(주)더봄봄푸드,20240228,변경민원,일반음식점,경기도 안성시 안성맞춤대로 847(1층 좌측호 계동),하**,박**,,Y,20260507,N,NONE
20190105426,(주)금은마에프앤비 은마왕만두,20260506,변경민원,일반음식점,"서울특별시 강남구 삼성로 212(은마상가지하 비블럭 40호,41호 일부호 대치동, 은마아파트)","서울특별시 강남구 대치동 316 은마아파트 \n 서울특별시 강남구 삼성로 212(은마상가B블록동 지하1층 40호 대치동, 은마아파트)","서울특별시 강남구 대치동 316 은마아파트 \n 서울특별시 강남구 삼성로 212(은마상가지하 비블럭 40호,41호 일부호 대치동, 은마아파트)",025557715,Y,20260506,N,NONE
20190105426,(주)금은마에프앤비 은마왕만두,20260506,변경민원(지위승계 : 양도.양수),일반음식점,"서울특별시 강남구 삼성로 212(은마상가지하 비블럭 40호,41호 일부호 대치동, 은마아파트)",이*******,이*******,025557715,Y,20260506,N,NONE
20190105426,(주)금은마에프앤비 은마왕만두,20260114,변경민원(지위승계 : 양도.양수),일반음식점,"서울특별시 강남구 삼성로 212(은마상가지하 비블럭 40호,41호 일부호 대치동, 은마아파트)",이**,이*******,025557715,Y,20260506,N,NONE
19990108214,(주)도라후구현복집,20260504,변경민원,일반음식점,서울특별시 강남구 도산대로50길 14(2층 논현동),"서울특별시 강남구 논현동 96-15 지상1,2층 \n 서울특별시 강남구 도산대로50길 14(지상1,2층 논현동)",서울특별시 강남구 논현동 96-15 \n 서울특별시 강남구 도산대로50길 14(2층 논현동),025116888,Y,20260504,N,NONE
20230116211,(주) 여의담,20260429,변경민원,일반음식점,서울특별시 영등포구 여의대방로65길 13(유창빌딩 지상3층 여의도동),우리술한잔블랙,(주) 여의담,,Y,20260429,N,NONE
20230116211,(주) 여의담,20260429,변경민원(지위승계 : 양도.양수),일반음식점,서울특별시 영등포구 여의대방로65길 13(유창빌딩 지상3층 여의도동),강**,백**,,Y,20260429,N,NONE
20230116211,(주) 여의담,20250414,변경민원(지위승계 : 양도.양수),일반음식점,서울특별시 영등포구 여의대방로65길 13(유창빌딩 지상3층 여의도동),김**,강**,,Y,20260429,N,NONE
20010174063,(주)내안에,20260428,변경민원,일반음식점,대구광역시 수성구 무학로 85(두산동),내안에,(주)내안에,0537660760,Y,20260428,N,NONE
20010174063,(주)내안에,20260428,변경민원(지위승계 : 양도.양수),일반음식점,대구광역시 수성구 무학로 85(두산동),정*******,정**,0537660760,Y,20260428,N,NONE
20010174063,(주)내안에,20150310,변경민원(지위승계 : 양도.양수),일반음식점,대구광역시 수성구 무학로 85(두산동),정*******,정*******,0537660760,Y,20260428,N,NONE
20020194006,(주)담가화로구이 인천주안,20260422,변경민원,일반음식점,인천광역시 미추홀구 미추홀대로 624-1(주안동),명륜진사갈비주안,(주)담가화로구이 인천주안,,Y,20260422,N,NONE
